Location,Latitude (decimal),Longitude (decimal),Year of issue,Diplomas,Shire,Donated in royal diploma at (location),Lat (comp.),Lon (comp.),Predicted accuracy,Notes,Prom Lat,Prom Lon,Estate Lat Fallback,Estate Lon Fallback,Distance,Distance numeric
Ciricdune (? at Chingford),"51.623","0.009","950",S 552a,Essex,Abingdon,,,Not found,,"51.6714842","-1.2779715","51.623","0.009","89.2417131450465",
Lippanwelle (? in Barnstaple hundred),"51.55","0.4","950",S 552a,Essex,Abingdon,,,Not found,,"51.6714842","-1.2779715","51.55","0.4","117.01715772513981",
Fontmell,"50.9515","-2.1918","932",S 419,Dorset,Amesbury,"50.9516684","-2.1913332",Shire match,,"51.1706875","-1.7706128","50.9515","-2.1918","38.294506904525605",
Littlebrook,"51.461985","0.24135025","995",S 885,Kent,Amesbury,"51.3609716","1.0658995",Shire match,,"51.1706875","-1.7706128","51.461985","0.24135025","143.962533375591",
North Stoneham,"50.955","-1.381666667","932",S 418,Hampshire,Amesbury,"50.9638699","-1.3757176",Shire match,,"51.1706875","-1.7706128","50.955","-1.381666667","36.32087230311148",
Wouldham,"51.34964","0.45836","995",S 885,Kent,Amesbury,"51.3529009","0.474945",Shire match,,"51.1706875","-1.7706128","51.34964","0.45836","156.85435466520283",
Fovant,"51.059","-1.996","901",S 364,Wiltshire,Axminster,"51.0554611","-1.9926309",Shire match,,"50.7820966","-2.9979915","51.059","-1.996","76.89641054444049",
Waltham St Lawrence,"51.48333333","-0.805","1007",S 915,Berkshire,Beorchore,"51.4833379","-0.8067539",No shire match,,"51.69487400256249","-2.457369744152353","51.48333333","-0.805","116.90833233522685",
Bishops Waltham,"50.9536","-1.2118","904",S 372,Hampshire,Bickleigh,"50.9540325","-1.2143351",Shire match,,"50.8427425","-3.502667","50.9536","-1.2118","161.62985879423897",
Compton,"51.295","-2.869","904",S 373,Somerset,Bickleigh,"51.2894146","-2.8505896",Shire match,,"50.8427425","-3.502667","51.295","-2.869","67.11305381248113",
Crowcombe,"51.124","-3.2273","904",S 373,Somerset,Bickleigh,"51.1169848","-3.2309709",Shire match,,"50.8427425","-3.502667","51.124","-3.2273","36.78230431493393",
Portchester,"50.842","-1.12","904",S 372,Hampshire,Bickleigh,"50.8488504","-1.125024",Shire match,,"50.8427425","-3.502667","50.842","-1.12","167.81652395710404",
Stoce by Shalbourne,"51.368","-1.55","904",S 373,Wiltshire,Bickleigh,,,Not found,,"50.8427425","-3.502667","51.368","-1.55","148.71671783361344",
Taunton,"51.019","-3.1","904, 968","S 373, S 806",Somerset,"Bickleigh, Cheddar","51.0147895","-3.1029086",Shire match,,missing value,missing value,"51.019","-3.1",,
Micheldever,"51.148569","-1.265595","900, 903, 904","S 360, S 370, S 374",Hampshire,"Bickleigh, Southampton","51.1573724","-1.2576789",Shire match,,missing value,missing value,"51.148569","-1.265595",,
Banwell,"51.327","-2.864","904, 1065","S 373, S 1042",Somerset,"Bickleigh, Windsor","51.3279764","-2.8629427",Shire match,,missing value,missing value,"51.327","-2.864",,
Kingtone (? Kington St Michael),"51.497","-2.143","934",S 426,Wiltshire,Buckingham,,,Not found,,"51.9983175","-0.9786725","51.497","-2.143","97.86198261749229",
Tadmarton,"52.04","-1.429","956",S 611,Oxfordshire,Cheddar,"52.0309453","-1.4181502",Shire match,,"51.2753365","-2.7766545","52.04","-1.429","126.23104353090228",
Tisted,"51.05745","-1.07035","941",S 511,Hampshire,Cheddar,"51.0811667","-0.9969444",Shire match,,"51.2753365","-2.7766545","51.05745","-1.07035","121.7834115587212",
Bradford Abbas,"50.928","-2.588","933",S 422,Dorset,Chippenham,"50.9342937","-2.5918593",Shire match,,"51.4587621","-2.1159032","50.928","-2.588","67.64465779564388",
Langley,"51.492","-2.108","940",S 473,Wiltshire,Chippenham,"51.4990873","-2.114639",Shire match,,"51.4587621","-2.1159032","51.492","-2.108","3.73850572372908",
Sandford,"50.810522","-3.662816","930",S 405,Devonshire,Chippenham,"50.8230346","-3.7070975",No shire match,,"51.4587621","-2.1159032","50.810522","-3.662816","130.0894369816557",
Stalbridge Weston,"50.94813167","-2.398086977","933",S 423,Dorset,Chippenham,"50.9486252","-2.3996411",Shire match,,"51.4587621","-2.1159032","50.94813167","-2.398086977","60.134609299517734",
Bedwyn,,,"999",S 937,Wiltshire,Cirencester,"51.379545","-1.5988642",Shire match,,"51.7171029","-1.9661616","51.379545","-1.5988642","45.38289427239925",
Burbage,,,"999",S 937,Wiltshire,Cirencester,"51.3548751","-1.6633806",Shire match,,"51.7171029","-1.9661616","51.3548751","-1.6633806","45.44800816740996",
Farnborough,,,"999",S 937,Warwickshire,Cirencester,"52.1436011","-1.3683355",Shire match,,"51.7171029","-1.9661616","52.1436011","-1.3683355","62.79213044528155",
Hurstbourne (Tarrant),,,"999",S 937,Hampshire,Cirencester,"51.2816791","-1.451908",Shire match,,"51.7171029","-1.9661616","51.2816791","-1.451908","60.183474522720324",
Pyrian (? Wood- or Waterperry),,,"999",S 937,Oxfordshire,Cirencester,,,Not found,,"51.7171029","-1.9661616",,,,
Seacourt,,,"956",S 633,Berkshire,Cirencester,"51.5004962","-0.5358873",No shire match,,"51.7171029","-1.9661616","51.5004962","-0.5358873","101.96920438135184",
South Cerney,,,"999",S 937,Gloucestershire,Cirencester,"51.6728211","-1.9206602",Shire match,,"51.7171029","-1.9661616","51.6728211","-1.9206602","5.845696461270058",
