Signature;Name;Title;Position;RiskyMatch;SawyerNo;PASE_ID
"+ Ego Ælfred rex hujus traditionis munificentiam signo sancte crucis adfirmo.";"Ælfred";"Sovereign";"1";"FALSE";S 218;;
"+ Ego Æðelred dux banc meam donationem signo sancte crucis inpono.";"Æðelred";"Dux";"2";"FALSE";S 218;;
"+ Ego Wulfred ep̄s consensi.";"Wulfred";"Bishop";"3";"FALSE";S 218;;
"+ Ego Wcrferð ep̄s consensi.";"Wcrferð";"Bishop";"4";"FALSE";S 218;;
"+ Ego Deorlaf ep̄s consensi.";"Deorlaf";"Bishop";"5";"FALSE";S 218;;
"+ Ego Æðelfertð dux consensi.";"Æðelfertð";"Dux";"6";"FALSE";S 218;;
"+ Ego Eardwulf consensi et subscripsi.";"Eardwulf";"NoTitle";"7";"FALSE";S 218;;
"+ Ego Æðelwold dux consensi.";"Æðelwold";"Dux";"8";"FALSE";S 218;;
"+ Ego Eadnoð consensi et subscripsi.";"Eadnoð";"NoTitle";"9";"FALSE";S 218;;
"+ Ego Ælfred consensi et subscripsi.";"Ælfred";"NoTitle";"10";"FALSE";S 218;;
"+ Ego Æðelhun aƀƀ consensi et subscripsi.";"Æðelhun";"Abbot";"11";"FALSE";S 218;;
"+ Wigbeard pr̄";"Wigbeard";"Priest";"12";"FALSE";S 218;;
"+ Wighelm";"Wighelm";"NoTitle";"13";"FALSE";S 218;;
"+ Luda";"Luda";"NoTitle";"14";"FALSE";S 218;;
"+ Wilferð";"Wilferð";"NoTitle";"15";"FALSE";S 218;;
"+ Ecghun";"Ecghun";"NoTitle";"16";"FALSE";S 218;;
"+ Acha.";"Acha";"NoTitle";"17";"FALSE";S 218;;
"+ Ego Æþelflæd consensi";"Æþelflæd";"None";"1";"FALSE";S 220;;
"+ Ego Wulredus episcopus";"Wulredus";"Bishop";"2";"FALSE";S 220;;
"+ Ego Alchardus episcopus";"Alchardus";"Bishop";"3";"FALSE";S 220;;
"+ Ego Werferþus episcopus";"Werferþus";"Bishop";"4";"FALSE";S 220;;
"+ Ego Cynemundus electus";"Cynemundus";"None";"5";"FALSE";S 220;;
"+ Ego Eadwaldus dux";"Eadwaldus";"Dux";"6";"FALSE";S 220;;
"Ego Æþulfus + dux";"Æþulfus";"Dux";"7";"FALSE";S 220;;
"Ego Æþelferdus + dux";"Æþelferdus";"Dux";"8";"FALSE";S 220;;
"Ego Alchelmus + dux";"Alchelmus";"Dux";"9";"FALSE";S 220;;
"Ego Earþulfus +";"Earþulfus";"None";"10";"FALSE";S 220;;
"Ego Beornoþus +";"Beornoþus";"None";"11";"FALSE";S 220;;
"Ego Ælwardus +";"Ælwardus";"None";"12";"FALSE";S 220;;
"Ego Eadnoþus";"Eadnoþus";"None";"13";"FALSE";S 220;;
"Ego Ælfredus";"Ælfredus";"None";"14";"FALSE";S 220;;
"+ Ego Æþelgarus";"Æþelgarus";"None";"15";"FALSE";S 220;;
"Ego Alchstanus";"Alchstanus";"None";"16";"FALSE";S 220;;
"Ego Wiferdus";"Wiferdus";"None";"17";"FALSE";S 220;;
"Ego Ælfredus";"Ælfredus";"None";"18";"FALSE";S 220;;
"Ego Wulricus";"Wulricus";"None";"19";"FALSE";S 220;;
"+ Ego Wulfredus";"Wulfredus";"None";"20";"FALSE";S 220;;
"+ Ego Æþulfus";"Æþulfus";"None";"21";"FALSE";S 220;;
"+ Ego Buga";"Buga";"None";"22";"FALSE";S 220;;
"+ Ego Ufa";"Ufa";"None";"23";"FALSE";S 220;;
"+ Ego Beorhthelmus";"Beorhthelmus";"None";"24";"FALSE";S 220;;
"+ Ego Æðered . . . . . . . . . .";"Æðered";"None";"1";"FALSE";S 221;;
