Object|Type|Class|Appears_in
anno recapitulationis Dionysii , id est , ab incarnatione domini nostri Jhesu Christi sexcentesimo septuagesimo sexto , indictione quarta , mense Novembris . viiio idus Novembris .|Anno Dionysii|Dating clause|https://aschart.kcl.ac.uk/charters/s0051.html
Anno recapitulationis Dionisi . id est ab incarnatione Christi sexcentessimo . octuagessimo indictione sexta revoluta .|Anno Dionysii|Dating clause|https://aschart.kcl.ac.uk/charters/s0052.html
anno ab incarnatione Christi .dcv., indictione .vi|Anno Domini|Dating clause|https://aschart.kcl.ac.uk/charters/s0002.html
anno ab incarnatione Christi .dcv., indictione .vi.|Anno Domini|Dating clause|https://aschart.kcl.ac.uk/charters/s0003.html
Actum est autem anno ab incarnatione saluatoris nostri Iesu Christi sexcentesimo octauo decimo, indictione .iiii.|Anno Domini|Dating clause|https://aschart.kcl.ac.uk/charters/s0006.html
anno ab incarnatione Christi .dcxci., indictione .iiii., .viii. die mensis Ianuarii, prima feria|Anno Domini|Dating clause|https://aschart.kcl.ac.uk/charters/s0010.html
Anno ab incarnatione domini . dcc . xvi . Indictione . xiii . Anno primo regni regis Æþelbaldi Merciorum .|Anno Domini|Dating clause|https://aschart.kcl.ac.uk/charters/s0021.html
Anno dominicæ incarnationis . dccxli . Indictione iii .|Anno Domini|Dating clause|https://aschart.kcl.ac.uk/charters/s0024.html
anno incarnationis Domini .dcclxii.|Anno Domini|Dating clause|https://aschart.kcl.ac.uk/charters/s0025.html
Actum pridie idus Octobris, anno ab incarnatione Domini .dccxxvii., indictione .x.|Anno Domini|Dating clause|https://aschart.kcl.ac.uk/charters/s0026.html
Actum mense Aprili . indictione . vi . anno ab incarnatione Christi . dccxxxviii.|Anno Domini|Dating clause|https://aschart.kcl.ac.uk/charters/s0027.html
Anno ab incarnatione Christi . dcclxii . indictione . xv|Anno Domini|Dating clause|https://aschart.kcl.ac.uk/charters/s0030.html
Actum indictione . xv . anno dominice incarnationis . dcclxii .|Anno Domini|Dating clause|https://aschart.kcl.ac.uk/charters/s0032.html
