location,latitude,longitude
Abingdon,51.6714842,-1.2779715
Amesbury,51.1706875,-1.7706128
Axminster,50.7820966,-2.9979915
Bickleigh,50.8427425,-3.502667
Buckingham,51.9983175,-0.9786725
Cheddar,51.2753365,-2.7766545
Chippenham,51.4587621,-2.1159032
Cirencester,51.7171029,-1.9661616
Colchester,51.8896903,0.8994651
Cookham,51.5600965,-0.7081509
Dorchester,50.7132064,-2.4371229
Droitwich,52.26851,-2.1486075
Epsom,51.3326098,-0.2678212
Exeter,50.7256138,-3.5269209
Frome,51.2294852,-2.3198467
Gadshill,52.2698549,-1.545795
Glastonbury,51.14804,-2.716577
Gloucester,51.8653705,-2.2458192
Headington,51.7601673,-1.2109282
Kingston-on-Thames,51.6743611,-1.2821216
London,51.4893335,-0.1440551
Lyminster,50.8339978,-0.5475421
Malmesbury,51.58447,-2.0982042
Milton,52.2422961,0.1604726
Nottingham,52.9534193,-1.1496461
Penkridge,52.7246633,-2.1127563
Puddletown,50.7489205,-2.3468411
Shrewsbury,52.707755,-2.7540658
Somerton,51.06161,-2.7548573
Southampton,50.9025349,-1.404189
Sutton Courtenay,51.6397508,-1.2777309
Westminster,51.5004439,-0.1265398
Wilton,51.0805315,-1.8607051
Winchcombe,51.9527513,-1.9675136
Winchester,51.0612766,-1.3131692
"Winchester, Southampton",50.9297324,-1.426927
Windsor,51.4837886,-0.6040419
Woolmer,51.0937792,-0.7481479
Worthy,51.1033985,-1.3008489
