Location,Latitude (decimal),Longitude (decimal),Year of issue,Diplomas,Shire,Donated in royal diploma at (location),Prom Lat,Prom Lon,Latitude (programmatic),Longitude (programmatic),Certainty,Sources
Ciricdune (? at Chingford),51.623,0.009,950,S 552a,Essex,Abingdon,51.6714842,-1.2779715,,,,
Lippanwelle (? in Barnstaple hundred),51.55,0.4,950,S 552a,Essex,Abingdon,51.6714842,-1.2779715,,,,
Fontmell,50.9515,-2.1918,932,S 419,Dorset,Amesbury,51.1706875,-1.7706128,,,,
Littlebrook,51.461985,0.24135025,995,S 885,Kent,Amesbury,51.1706875,-1.7706128,,,,
North Stoneham,50.955,-1.381666667,932,S 418,Hampshire,Amesbury,51.1706875,-1.7706128,,,,
Wouldham,51.34964,0.45836,995,S 885,Kent,Amesbury,51.1706875,-1.7706128,,,,
Fovant,51.059,-1.996,901,S 364,Wiltshire,Axminster,50.7820966,-2.9979915,,,,
Waltham St Lawrence,51.48333333,-0.805,1007,S 915,Berkshire,Beorchore,,,,,,
Bishops Waltham,50.9536,-1.2118,904,S 372,Hampshire,Bickleigh,50.8427425,-3.502667,,,,
Compton,51.295,-2.869,904,S 373,Somerset,Bickleigh,50.8427425,-3.502667,,,,
Crowcombe,51.124,-3.2273,904,S 373,Somerset,Bickleigh,50.8427425,-3.502667,,,,
Portchester,50.842,-1.12,904,S 372,Hampshire,Bickleigh,50.8427425,-3.502667,,,,
Stoce by Shalbourne,51.368,-1.55,904,S 373,Wiltshire,Bickleigh,50.8427425,-3.502667,,,,
Taunton,51.019,-3.1,"904, 968","S 373, S 806",Somerset,"Bickleigh, Cheddar",,,,,,
Micheldever,51.148569,-1.265595,"900, 903, 904","S 360, S 370, S 374",Hampshire,"Bickleigh, Southampton",,,,,,
Banwell,51.327,-2.864,"904, 1065","S 373, S 1042",Somerset,"Bickleigh, Windsor",,,,,,
Kingtone (? Kington St Michael),51.497,-2.143,934,S 426,Wiltshire,Buckingham,51.9983175,-0.9786725,,,,
Tadmarton,52.04,-1.429,956,S 611,Oxfordshire,Cheddar,51.2753365,-2.7766545,,,,
Tisted,51.05745,-1.07035,941,S 511,Hampshire,Cheddar,51.2753365,-2.7766545,,,,
Bradford Abbas,50.928,-2.588,933,S 422,Dorset,Chippenham,51.4587621,-2.1159032,,,,
Langley,51.492,-2.108,940,S 473,Wiltshire,Chippenham,51.4587621,-2.1159032,,,,
Sandford,50.810522,-3.662816,930,S 405,Devonshire,Chippenham,51.4587621,-2.1159032,,,,
Stalbridge Weston,50.9481316671491,-2.39808697729451,933,S 423,Dorset,Chippenham,51.4587621,-2.1159032,,,,
Bedwyn,,,999,S 937,Wiltshire,Cirencester,51.7171029,-1.9661616,,,,
Burbage,,,999,S 937,Wiltshire,Cirencester,51.7171029,-1.9661616,,,,
