"Location";"Latitude (decimal)";"Longitude (decimal)";"Year of issue";"Diplomas";"Shire";"Donated in royal diploma at (location)";"Prom Lat";"Prom Lon"
"Ciricdune (? at Chingford)";"51.623";"0.009";"950";"S 552a";"Essex";"Abingdon"
"Lippanwelle (? in Barnstaple hundred)";"51.55";"0.4";"950";"S 552a";"Essex";"Abingdon"
"Fontmell";"50.9515";"-2.1918";"932";"S 419";"Dorset";"Amesbury"
"Littlebrook";"51.461985";"0.24135025";"995";"S 885";"Kent";"Amesbury"
"North Stoneham";"50.955";"-1.381666667";"932";"S 418";"Hampshire";"Amesbury"
"Wouldham";"51.34964";"0.45836";"995";"S 885";"Kent";"Amesbury"
"Fovant";"51.059";"-1.996";"901";"S 364";"Wiltshire";"Axminster"
"Waltham St Lawrence";"51.48333333";"-0.805";"1007";"S 915";"Berkshire";"Beorchore"
"Bishops Waltham";"50.9536";"-1.2118";"904";"S 372";"Hampshire";"Bickleigh"
"Compton";"51.295";"-2.869";"904";"S 373";"Somerset";"Bickleigh"
"Crowcombe";"51.124";"-3.2273";"904";"S 373";"Somerset";"Bickleigh"
"Portchester";"50.842";"-1.12";"904";"S 372";"Hampshire";"Bickleigh"
"Stoce by Shalbourne";"51.368";"-1.55";"904";"S 373";"Wiltshire";"Bickleigh"
"Taunton";"51.019";"-3.1";"904, 968";"S 373, S 806";"Somerset";"Bickleigh, Cheddar"
"Micheldever";"51.148569";"-1.265595";"900, 903, 904";"S 360, S 370, S 374";"Hampshire";"Bickleigh, Southampton"
"Banwell";"51.327";"-2.864";"904, 1065";"S 373, S 1042";"Somerset";"Bickleigh, Windsor"
"Kingtone (? Kington St Michael)";"51.497";"-2.143";"934";"S 426";"Wiltshire";"Buckingham"
"Tadmarton";"52.04";"-1.429";"956";"S 611";"Oxfordshire";"Cheddar"
"Tisted";"51.05745";"-1.07035";"941";"S 511";"Hampshire";"Cheddar"
"Bradford Abbas";"50.928";"-2.588";"933";"S 422";"Dorset";"Chippenham"
"Langley";"51.492";"-2.108";"940";"S 473";"Wiltshire";"Chippenham"
"Sandford";"50.810522";"-3.662816";"930";"S 405";"Devonshire";"Chippenham"
"Stalbridge Weston";"50.9481316671491";"-2.39808697729451";"933";"S 423";"Dorset";"Chippenham"
"Bedwyn";;;"999";"S 937";"Wiltshire";"Cirencester"
"Burbage";;;"999";"S 937";"Wiltshire";"Cirencester"
"Farnborough";;;"999";"S 937";"Warwickshire";"Cirencester"
"Hurstbourne (Tarrant)";;;"999";"S 937";"Hampshire";"Cirencester"
"Pyrian (? Wood- or Waterperry)";;;"999";"S 937";"Oxfordshire";"Cirencester"
"Seacourt";;;"956";"S 633";"Berkshire";"Cirencester"
"South Cerney";;;"999";"S 937";"Gloucestershire";"Cirencester"
"Wormleighton";;;"999";"S 937";"Warwickshire";"Cirencester"
"Wytham";;;"956";"S 633";"Berkshire";"Cirencester"
"Ecchinswell";;;"931";"S 412";"Hampshire";"Colchester"
"Grittleton";;;"940";"S 472";"Wiltshire";"Colchester"
"Bocking";;;"997";"S 939";"Essex";"Cookham"
"Bremhill";;;"937, 937";"S 434, S 436";"Wiltshire";"Dorchester"
"Burleston";;;"934";"S 391";"Dorset";"Dorchester"
"Cattistock";;;"934";"S 391";"Dorset";"Dorchester"
"Chalmington";;;"934";"S 391";"Dorset";"Dorchester"
"Clyffe in Tincleton";;;"934";"S 391";"Dorset";"Dorchester"
"Compton Abbas";;;"934";"S 391";"Dorset";"Dorchester"
"Ercecombe (Yarcombe)/Stokelonde (Stockland)";;;"934";"S 391";"Devonshire";"Dorchester"
"Ewen";;;"937";"S 436";"Gloucestershire";"Dorchester"
"Hillfield";;;"934";"S 391";"Dorset";"Dorchester"
"Holworth";;;"934";"S 391";"Dorset";"Dorchester"
"Little Puddle";;;"934";"S 391";"Dorset";"Dorchester"
"Lyscombe";;;"934";"S 391";"Dorset";"Dorchester"
"Milborne (St Andrew)";;;"934";"S 391";"Dorset";"Dorchester"
"Norton";;;"937";"S 436";"Wiltshire";"Dorchester"
"Osmington";;;"934";"S 391";"Dorset";"Dorchester"
"Ower";;;"934";"S 391";"Dorset";"Dorchester"
"Sumerford (? Little Somerford)";;;"937";"S 436";"Wiltshire";"Dorchester"
"Sydling";;;"934";"S 391";"Dorset";"Dorchester"
"Twynham (Christchurch)";;;"934";"S 391";"Hampshire";"Dorchester"
"Whitcombe";;;"934";"S 391";"Dorset";"Dorchester"
"Woolland";;;"934";"S 391";"Dorset";"Dorchester"
"Wootton Bassett";;;"937, 937";"S 435, S 436";"Wiltshire";"Dorchester"
"Ye (St Helen’s,  now Green Island)";;;"934";"S 391";"Dorset";"Dorchester"
"Walden";;;"888";"S 220";"Hertfordshire";"Droitwich"
"Cyricestun (? Somerset)";;;"882";"S 345";"Somerset";"Epsom"
"Odstock";;;"928";"S 400";"Wiltshire";"Exeter"
"Winterbourne (? near Bristol)";;;"928";"S 399";"Gloucestershire";"Exeter"
"Ashmanworth";;;"934";"S 427";"Hampshire";"Frome"
"Chilbolton";;;"934";"S 427";"Hampshire";"Frome"
"Enford";;;"934";"S 427";"Wiltshire";"Frome"
"Twickenham";;;"948";"S 537";"Middlesex";"Gadshill"
"Aston in Wellington";;;"975";"S 802";"Shropshire";"Glastonbury"
"Between the Tyburn and the Fleet";;;"959";"S 670";"Middlesex";"Glastonbury"
"Rimpton";;;"956";"S 571";"Somerset";"Glastonbury"
"Blackwell in Tredington";;;"963";"S 731";"Worcestershire";"Gloucester"
"Blockley";;;"963";"S 731";"Gloucestershire";"Gloucester"
"Bredon";;;"963";"S 731";"Worcestershire";"Gloucester"
"Cropthorne";;;"963";"S 731";"Worcestershire";"Gloucester"
"Daylesford";;;"949, 963";"S 731";"Gloucestershire";"Gloucester"
"Dorn in Batsford";;;"963";"S 731";"Gloucestershire";"Gloucester"
"Evenlode";;;"963, 1051";"S 731";"Gloucestershire";"Gloucester"
"Grimley";;;"963";"S 731";"Worcestershire";"Gloucester"
"Hallow";;;"963";"S 731";"Worcestershire";"Gloucester"
"Harvington";;;"963";"S 731";"Worcestershire";"Gloucester"
"Icomb";;;"963";"S 731";"Gloucestershire";"Gloucester"
"Knightwick";;;"963";"S 731";"Worcestershire";"Gloucester"
"Little Witley";;;"963";"S 731";"Worcestershire";"Gloucester"
"Mitton in Bredon";;;"963";"S 731";"Worcestershire";"Gloucester"
"Northwick in Blockley";;;"963";"S 731";"Gloucestershire";"Gloucester"
"Overbury";;;"963";"S 731";"Worcestershire";"Gloucester"
"Pendock";;;"963";"S 731";"Worcestershire";"Gloucester"
"Sedgeberrow";;;"963";"S 731";"Worcestershire";"Gloucester"
"Shipston-on-Stour";;;"963";"S 731";"Warwickshire";"Gloucester"
"Teddington";;;"963";"S 731";"Gloucestershire";"Gloucester"
"Tredington";;;"963";"S 731";"Warwickshire";"Gloucester"
"Cowley";;;"1004";"S 909";"Oxfordshire";"Headington"
"Cutslow";;;"1004";"S 909";"Oxfordshire";"Headington"
"Headington";;;"1004";"S 909";"Oxfordshire";"Headington"
"Upper Winchendon";;;"1004";"S 909";"Buckinghamshire";"Headington"
"Whitehill in Tackley";;;"1004";"S 909";"Oxfordshire";"Headington"
"Albury";;;"933";"S 420";"Surrey";"Kingston-on-Thames"
"Banstead";;;"933";"S 420";"Surrey";"Kingston-on-Thames"
"Beddington";;;"933";"S 420";"Surrey";"Kingston-on-Thames"
"Bisley";;;"933";"S 420";"Surrey";"Kingston-on-Thames"
"Bookham";;;"933, 947, 967, 1051";"S 420";"Surrey";"Kingston-on-Thames"
"Bosanketh";;;"925";"S 450";"Cornwall";"Kingston-on-Thames"
"Bosliven";;;"925";"S 450";"Cornwall";"Kingston-on-Thames"
"Botilwoelon";;;"925";"S 450";"Cornwall";"Kingston-on-Thames"
"Burnewhall";;;"925";"S 450";"Cornwall";"Kingston-on-Thames"
"Byfleet";;;"933";"S 420";"Surrey";"Kingston-on-Thames"
"Carshalton (Æuueltone)";;;"933";"S 420";"Surrey";"Kingston-on-Thames"
"Cealuadune (Chaldon)";;;"927";"S 420";"Surrey";"Kingston-on-Thames"
"Cheam";;;"928";"S 420";"Surrey";"Kingston-on-Thames"
"Chertsey";;;"929";"S 420";"Surrey";"Kingston-on-Thames"
"Chipstead";;;"930";"S 420";"Surrey";"Kingston-on-Thames"
"Chobham";;;"931";"S 420";"Surrey";"Kingston-on-Thames"
"Cobham";;;"932";"S 420";"Surrey";"Kingston-on-Thames"
"Coulsdon";;;"933";"S 420";"Surrey";"Kingston-on-Thames"
"Cuddington";;;"933";"S 420";"Surrey";"Kingston-on-Thames"
"Dritham";;;"933";"S 420";"Surrey";"Kingston-on-Thames"
"East Clandon";;;"933";"S 420";"Surrey";"Kingston-on-Thames"
"Effingham";;;"933";"S 420";"Surrey";"Kingston-on-Thames"
"Egham";;;"933";"S 420";"Surrey";"Kingston-on-Thames"
"Epsom";;;"933";"S 420";"Surrey";"Kingston-on-Thames"
"Folkestone";;;"927, 1035, 1051";"S 398, S 981, S 1047";"Kent";"Kingston-on-Thames"
"Frimley";;;"933, 967";"S 420, S 752";"Surrey";"Kingston-on-Thames"
"Getinges (cf. Eaton Farm,  Chobham)";;;"885, 933";"S 353, S 420";"Surrey";"Kingston-on-Thames"
"Hunewaldesham (lost) in Weybridge";;;"885, 933";"S 353, S 420";"Surrey";"Kingston-on-Thames"
"Merstham";;;"933, 947, 967, 1051";"S 420, S 528, S 752, S 1047";"Surrey";"Kingston-on-Thames"
"Mitcham";;;"933";"S 420";"Surrey";"Kingston-on-Thames"
"Molesey";;;"933";"S 420";"Surrey";"Kingston-on-Thames"
"Pendrea";;;"925";"S 450";"Cornwall";"Kingston-on-Thames"
"Petersham";;;"933";"S 420";"Surrey";"Kingston-on-Thames"
"Pointers in Cobham";;;"933";"S 420";"Surrey";"Kingston-on-Thames"
"Streatham";;;"933";"S 420";"Surrey";"Kingston-on-Thames"
"Suthmeresfelda (Canon’s Farm,  Banstead)";;;"933";"S 420";"Surrey";"Kingston-on-Thames"
"Sutton";;;"933";"S 420";"Surrey";"Kingston-on-Thames"
"Tadworth";;;"933";"S 420";"Surrey";"Kingston-on-Thames"
"Thorpe";;;"933";"S 420";"Surrey";"Kingston-on-Thames"
"Thunderfield";;;"933";"S 420";"Surrey";"Kingston-on-Thames"
"Tooting";;;"933";"S 420";"Surrey";"Kingston-on-Thames"
"Treikyn";;;"925";"S 450";"Cornwall";"Kingston-on-Thames"
"Treverven";;;"925";"S 450";"Cornwall";"Kingston-on-Thames"
"Waddington";;;"93";"S 420";"Surrey";"Kingston-on-Thames"
"Warkton";;;"946";"S 520";"Northamptonshire";"Kingston-on-Thames"
"Werburginland (? Way (Wayborough) near Minster)";;;"924";"S 394";"Kent";"Kingston-on-Thames"
"West Clandon";;;"933";"S 420";"Surrey";"Kingston-on-Thames"
"Weybridge";;;"933";"S 420";"Surrey";"Kingston-on-Thames"
"White Waltham";;;"933";"S 420";"Berkshire";"Kingston-on-Thames"
"Woodham in Chertsey";;;"933";"S 420";"Surrey";"Kingston-on-Thames"
"Ewell";;;"933";"S 420";"Surrey";"Kingston-on-Thames"
"Ham";;;"931";"S 416";"Wiltshire";"Lifton, Westminster"
"Brabourne";;;"996";"S 877";"Kent";"London"
"Burhwarefelda";;;"996";"S 877";"Kent";"London"
"Chalk";;;"996";"S 877";"Kent";"London"
"Cofton Hackett";;;"934";"S 428";"Worcestershire";"London"
"Crowland";;;"1032";"S 965";"Lincolnshire";"London"
"Evegate";;;"996";"S 877";"Kent";"London"
"Hopwood in Alvechurch";;;"934";"S 428";"Worcestershire";"London"
"Nackington";;;"996";"S 877";"Kent";"London"
"Rednal in Kings Norton";;;"934";"S 428";"Worcestershire";"London"
"Wast Hills";;;"934";"S 428";"Worcestershire";"London"
"Werstfelda";;;"934";"S 428";"Worcestershire";"London"
"Wirigenn (? Perry)";;;"996";"S 877";"Kent";"London"
"Earnley";;;"930";"S 403";"Sussex";"Lyminster"
"Medmerry";;;"930";"S 403";"Sussex";"Lyminster"
"Chelworth in Crudwell";;;"885";"S 356";"Wiltshire";"Malmesbury"
"(West) Meon";;;"932";"S 417";"Hampshire";"Milton"
"Stanton St Bernard";;;"903";"S 368";"Wiltshire";"Milton"
"Amounderness";;;"934";"S 407";"Lancashire";"Nottingham"
"Aston (? Aston Sutton)";;;"958";"S 667";"Cheshire";"Penkridge"
"Barrow (? Great Barrow)";;;"958";"S 667";"Cheshire";"Penkridge"
