Text,Class,Type
+ Ego Æ∂elstan rex Anglorum hanc meam donationem cum sigillo sanctæ crucis impressi . + Ego Eadmund indolis clito . consensi . + Ego Wulfhelm archiepiscopus dictavi . + Ego Ælfheah episcopus adquievi . + Ego Æ∂elgar episcopus notavi . + Ego Brihtelm episcopus favi . + Ego Wynsige episcopus conclusi . + Wulfgar dux . + Ælfhere dux . + Æ∂elstan dux . + Odda minister . + Wulfhelm minister . + Ælfheah minister . + Æ∂elfer∂ minister . + Wihtgar minister . ,WitnessList,
+ Ego Æ∂elstan rex Anglorum hanc meam donationem cum sigillo sanctæ crucis impressi .,FullSignature,Sovereign
+ Ego Eadmund indolis clito . consensi,FullSignature,Aetheling
Æ∂elstan,Name,
Eadmund,Name,
+ Ego Wulfhelm archiepiscopus dictavi .,FullSignature,Archbishop
Wulfhelm,Name,
+ Ego Ælfheah episcopus adquievi .,FullSignature,Bishop
Ælfheah,Name,
+ Ego Æ∂elgar episcopus notavi .,FullSignature,Bishop
Æ∂elgar,Name,
+ Ego Brihtelm episcopus favi .,FullSignature,Bishop
Brihtelm,Name,
+ Ego Wynsige episcopus conclusi .,FullSignature,Bishop
Wynsige,Name,
+ Wulfgar dux .,FullSignature,Dux
Wulfgar,Name,
+ Ælfhere dux .,FullSignature,Dux
+ Æ∂elstan dux .,FullSignature,Dux
Ælfhere,Name,
+ Odda minister .,FullSignature,Minister
Odda,Name,
+ Wulfhelm minister .,FullSignature,Minister
+ Ælfheah minister .,FullSignature,Minister
+ Æ∂elfer∂ minister .,FullSignature,Minister
Æ∂elfer∂,Name,
+ Wihtgar minister .,FullSignature,Minister
Wihtgar,Name,
Ælfheah ,Name,
Wulfhelm,Name,
