Location,Estate Lat (WIP),Estate Lon (WIP),Year of issue,Diplomas,Num diplomas,Shire,Promulgation site,Lat (comp.),Lon (comp.),Predicted accuracy,Notes,Prom Lat,Prom Lon,Estate Lat,Estate Lon,Distance
Ciricdune (? at Chingford),51.623,0.009,950,S 552a,1,Essex,Abingdon,,,Not found,,51.6714842,-1.2779715,51.623,0.009,89.2417131450465
LatLon,51.55,0.4,950,S 552a,1,Essex,Abingdon,,,Not found,,51.6714842,-1.2779715,51.55,0.4,117.01715772514
Fontmell,50.9515,-2.1918,932,S 419,1,Dorset,Amesbury,50.9516684,-2.1913332,Shire match,,51.1706875,-1.7706128,50.9515,-2.1918,38.2945069045256
Littlebrook,51.461985,0.24135025,995,S 885,1,Kent,Amesbury,51.3609716,1.0658995,Shire match,,51.1706875,-1.7706128,51.461985,0.24135025,143.962533375591
North Stoneham,50.955,-1.381666667,932,S 418,1,Hampshire,Amesbury,50.9638699,-1.3757176,Shire match,,51.1706875,-1.7706128,50.955,-1.381666667,36.3208723031115
Wouldham,51.34964,0.45836,995,S 885,1,Kent,Amesbury,51.3529009,0.474945,Shire match,,51.1706875,-1.7706128,51.34964,0.45836,156.854354665203
Fovant,51.059,-1.996,901,S 364,1,Wiltshire,Axminster,51.0554611,-1.9926309,Shire match,,50.7820966,-2.9979915,51.059,-1.996,76.8964105444405
Waltham St Lawrence,51.48333333,-0.805,1007,S 915,1,Berkshire,Beorchore,51.4833379,-0.8067539,No shire match,,51.6948740025625,-2.45736974415235,51.48333333,-0.805,116.908332335227
Bishops Waltham,50.9536,-1.2118,904,S 372,1,Hampshire,Bickleigh,50.9540325,-1.2143351,Shire match,,50.8427425,-3.502667,50.9536,-1.2118,161.629858794239
Compton,51.295,-2.869,904,S 373,1,Somerset,Bickleigh,51.2894146,-2.8505896,Shire match,,50.8427425,-3.502667,51.295,-2.869,67.1130538124811
Crowcombe,51.124,-3.2273,904,S 373,1,Somerset,Bickleigh,51.1169848,-3.2309709,Shire match,,50.8427425,-3.502667,51.124,-3.2273,36.7823043149339
Portchester,50.842,-1.12,904,S 372,1,Hampshire,Bickleigh,50.8488504,-1.125024,Shire match,,50.8427425,-3.502667,50.842,-1.12,167.816523957104
Stoce by Shalbourne,51.368,-1.55,904,S 373,1,Wiltshire,Bickleigh,,,Not found,,50.8427425,-3.502667,51.368,-1.55,148.716717833613
Taunton,51.019,-3.1,904,S 373,1,Somerset,Bickleigh,51.0147895,-3.1029086,Shire match,,50.8427425,-3.502667,51.019,-3.1,34.4358916159673
Taunton,51.019,-3.1,968,S 806,1,Somerset,Cheddar,51.0147895,-3.1029086,Shire match,,51.2753365,-2.7766545,51.019,-3.1,36.4033025753556
Micheldever,51.148569,-1.265595,900,S 360,1,Hampshire,Southampton,51.1573724,-1.2576789,Shire match,,50.9025349,-1.404189,51.148569,-1.265595,29.0468462352743
Micheldever,51.148569,-1.265595,903,S 370,1,Hampshire,Southampton,51.1573724,-1.2576789,Shire match,,50.9025349,-1.404189,51.148569,-1.265595,29.0468462352743
Micheldever,51.148569,-1.265595,904,S 374,1,Hampshire,Bickleigh,51.1573724,-1.2576789,Shire match,,50.8427425,-3.502667,51.148569,-1.265595,160.687982738265
Banwell,51.327,-2.864,904,S 373,1,Somerset,Bickleigh,51.3279764,-2.8629427,Shire match,,50.8427425,-3.502667,51.327,-2.864,70.0353198631486
Banwell,51.327,-2.864,1065,S 1042,1,Somerset,Windsor,51.3279764,-2.8629427,Shire match,,51.4837886,-0.6040419,51.327,-2.864,158.215395356817
Kingtone (? Kington St Michael),51.497,-2.143,934,S 426,1,Wiltshire,Buckingham,,,Not found,,51.9983175,-0.9786725,51.497,-2.143,97.8619826174916
Tadmarton,52.04,-1.429,956,S 611,1,Oxfordshire,Cheddar,52.0309453,-1.4181502,Shire match,,51.2753365,-2.7766545,52.04,-1.429,126.231043530902
Tisted,51.05745,-1.07035,941,S 511,1,Hampshire,Cheddar,51.0811667,-0.9969444,Shire match,,51.2753365,-2.7766545,51.05745,-1.07035,121.783411558721
Bradford Abbas,50.928,-2.588,933,S 422,1,Dorset,Chippenham,50.9342937,-2.5918593,Shire match,,51.4587621,-2.1159032,50.928,-2.588,67.6446577956439
Langley,51.492,-2.108,940,S 473,1,Wiltshire,Chippenham,51.4990873,-2.114639,Shire match,,51.4587621,-2.1159032,51.492,-2.108,3.73850572372908
Sandford,50.810522,-3.662816,930,S 405,1,Devonshire,Chippenham,50.8230346,-3.7070975,No shire match,,51.4587621,-2.1159032,50.810522,-3.662816,130.089436981656
Stalbridge Weston,50.94813167,-2.398086977,933,S 423,1,Dorset,Chippenham,50.9486252,-2.3996411,Shire match,,51.4587621,-2.1159032,50.94813167,-2.398086977,60.1346092995177
Bedwyn,,,999,S 937,1,Wiltshire,Cirencester,51.379545,-1.5988642,Shire match,,51.7171029,-1.9661616,51.379545,-1.5988642,45.3828942723993
Burbage,,,999,S 937,1,Wiltshire,Cirencester,51.3548751,-1.6633806,Shire match,,51.7171029,-1.9661616,51.3548751,-1.6633806,45.44800816741
Farnborough,,,999,S 937,1,Warwickshire,Cirencester,52.1436011,-1.3683355,Shire match,,51.7171029,-1.9661616,52.1436011,-1.3683355,62.7921304452816
Hurstbourne (Tarrant),,,999,S 937,1,Hampshire,Cirencester,51.2816791,-1.451908,Shire match,,51.7171029,-1.9661616,51.2816791,-1.451908,60.1834745227203
Pyrian (? Wood- or Waterperry),,,999,S 937,1,Oxfordshire,Cirencester,,,Not found,,51.7171029,-1.9661616,,,
Seacourt,,,956,S 633,1,Berkshire,Cirencester,51.5004962,-0.5358873,No shire match,,51.7171029,-1.9661616,51.5004962,-0.5358873,101.96920438135
South Cerney,,,999,S 937,1,Gloucestershire,Cirencester,51.6728211,-1.9206602,Shire match,,51.7171029,-1.9661616,51.6728211,-1.9206602,5.84569646127006
Wormleighton,,,999,S 937,1,Warwickshire,Cirencester,52.1790224,-1.3451912,Shire match,,51.7171029,-1.9661616,52.1790224,-1.3451912,66.8166787709614
Wytham,,,956,S 633,1,Berkshire,Cirencester,,,Not found,,51.7171029,-1.9661616,,,
Ecchinswell,,,931,S 412,1,Hampshire,Colchester,51.3329458,-1.2838865,Shire match,,51.8896903,0.8994651,51.3329458,-1.2838865,163.428304597943
Grittleton,,,940,S 472,1,Wiltshire,Colchester,51.5175337,-2.2093908,Shire match,,51.8896903,0.8994651,51.5175337,-2.2093908,218.85157178452
Bocking,,,997,S 939,1,Essex,Cookham,51.8838073,0.5499129,Shire match,,51.5600965,-0.7081509,51.8838073,0.5499129,94.0994109764044
Bremhill,,,937,S 434,1,Wiltshire,Dorchester,51.4693457,-2.0454519,Shire match,,50.7132064,-2.4371229,51.4693457,-2.0454519,88.4826191890479
Bremhill,,,937,S 436,1,Wiltshire,Dorchester,51.4693457,-2.0454519,Shire match,,50.7132064,-2.4371229,51.4693457,-2.0454519,88.4826191890479
Burleston,,,934,S 391,1,Dorset,Dorchester,50.7476294,-2.3180015,Shire match,,50.7132064,-2.4371229,50.7476294,-2.3180015,9.24113911772353
Cattistock,,,934,S 391,1,Dorset,Dorchester,50.8097933,-2.5913499,Shire match,,50.7132064,-2.4371229,50.8097933,-2.5913499,15.2925250349306
Chalmington,,,934,S 391,1,Dorset,Dorchester,50.8056347,-2.5770133,Shire match,,50.7132064,-2.4371229,50.8056347,-2.5770133,14.2531026209047
Clyffe in Tincleton,,,934,S 391,1,Dorset,Dorchester,,,Not found,,50.7132064,-2.4371229,,,
Compton Abbas,,,934,S 391,1,Dorset,Dorchester,50.9649957,-2.187397,Shire match,,50.7132064,-2.4371229,50.9649957,-2.187397,33.0758328353564
Ercecombe (Yarcombe)/Stokelonde (Stockland),,,934,S 391,1,Devonshire,Dorchester,,,Not found,,50.7132064,-2.4371229,,,
Ewen,,,937,S 436,1,Gloucestershire,Dorchester,51.677278,-1.993704,Shire match,,50.7132064,-2.4371229,51.677278,-1.993704,111.64338173164
Hillfield,,,934,S 391,1,Dorset,Dorchester,50.625128,-2.240709,Shire match,,50.7132064,-2.4371229,50.625128,-2.240709,16.9944435795432
Holworth,,,934,S 391,1,Dorset,Dorchester,50.6496111,-2.3303023,Shire match,,50.7132064,-2.4371229,50.6496111,-2.3303023,10.3463806452384
Little Puddle,,,934,S 391,1,Dorset,Dorchester,,,Not found,,50.7132064,-2.4371229,,,
Lyscombe,,,934,S 391,1,Dorset,Dorchester,50.6810991,-2.2351315,Shire match,,50.7132064,-2.4371229,50.6810991,-2.2351315,14.7115820389178
Milborne (St Andrew),,,934,S 391,1,Dorset,Dorchester,50.7764648,-2.277241,Shire match,,50.7132064,-2.4371229,50.7764648,-2.277241,13.2991247965324
