Location,Estate Lat (WIP),Estate Lon (WIP),Year of issue,Diplomas,Diploma authenticity (as in Notion),Category of diploma authenticity (quadripartite simplification),Beneficiary,Beneficiary: commu or person,Beneficiary person: lay or ecclesiastic,Diploma preserved at (archive),Num diplomas,Shire,Promulgation site,Lat (comp.),Lon (comp.),Predicted accuracy,Notes,Archive Lat,Archive Lon,Prom Lat,Prom Lon,Estate Lat,Estate Lon,Distance between estate and promulgation site,Distance between estate and archive,Int Estate Promulgation Distance
Hambledon,"50.9375440134","-1.0786395351","1049",S 1018,disputed suspicious (and/or opinions vary),likely spurious,Ælfwine,person,lay,"Winchester, Old Minster","1",Hampshire,Winchester,,,,,,,"51.0612766","-1.3131692","50.9375440134","-1.0786395351","21.4598938955",,
Banwell,"51.327","-2.864","1065",S 1042,disputed (probbaly spurious),likely spurious,"Wells, St Andrew's",community,,Wells,"1",Somerset,Windsor,"51.3279764","-2.8629427",Shire match,,,,"51.4837886","-0.6040419","51.327","-2.864","158.2153953568",,
(Bishops) Lydeard,,,"1065",S 1042,disputed (probbaly spurious),likely spurious,"Wells, St Andrew's",community,,Wells,"1",Somerset,Windsor,"51.0576845","-3.1873724",Shire match,,,,"51.4837886","-0.6040419","51.0576845","-3.1873724","186.4035208795",,
(East) Wanstrow,"51.1736498261","-2.4142630925","1065",S 1042,disputed (probbaly spurious),likely spurious,"Wells, St Andrew's",community,,Wells,"1",Somerset,Windsor,,,Not found,,,,"51.4837886","-0.6040419","51.1736498261","-2.4142630925","130.802243467",,
Binegar,,,"1065",S 1042,disputed (probbaly spurious),likely spurious,"Wells, St Andrew's",community,,Wells,"1",Somerset,Windsor,"51.2427853","-2.5514413",Shire match,,,,"51.4837886","-0.6040419","51.2427853","-2.5514413","138.2530417115",,
Bleadney,,,"1065",S 1042,disputed (probbaly spurious),likely spurious,"Wells, St Andrew's",community,,Wells,"1",Somerset,Windsor,"51.203451","-2.7378454",Shire match,,,,"51.4837886","-0.6040419","51.203451","-2.7378454","151.9090860891",,
Chew Magna,,,"1065",S 1042,disputed (probbaly spurious),likely spurious,"Wells, St Andrew's",community,,Wells,"1",Somerset,Windsor,"51.3660251","-2.6089889",Shire match,,,,"51.4837886","-0.6040419","51.3660251","-2.6089889","140.0628909103",,
Combe St Nicholas,,,"1065",S 1042,disputed (probbaly spurious),likely spurious,"Wells, St Andrew's",community,,Wells,"1",Somerset,Windsor,"50.8973646","-2.9947914",Shire match,,,,"51.4837886","-0.6040419","50.8973646","-2.9947914","179.4078403854",,
Congresbury,,,"1065",S 1042,disputed (probbaly spurious),likely spurious,"Wells, St Andrew's",community,,Wells,"1",Somerset,Windsor,"51.3720095","-2.8055631",Shire match,,,,"51.4837886","-0.6040419","51.3720095","-2.8055631","153.6141962905",,
Evercreech,,,"1065",S 1042,disputed (probbaly spurious),likely spurious,"Wells, St Andrew's",community,,Wells,"1",Somerset,Windsor,"51.1520665","-2.5084975",Shire match,,,,"51.4837886","-0.6040419","51.1520665","-2.5084975","137.8017644781",,
Kingsbury,,,"1065",S 1042,disputed (probbaly spurious),likely spurious,"Wells, St Andrew's",community,,Wells,"1",Somerset,Windsor,"50.9864772","-2.8072967",Shire match,,,,"51.4837886","-0.6040419","50.9864772","-2.8072967","163.516511847",,
Litton,,,"1065",S 1042,disputed (probbaly spurious),likely spurious,"Wells, St Andrew's",community,,Wells,"1",Somerset,Windsor,"51.2900131","-2.5820639",Shire match,,,,"51.4837886","-0.6040419","51.2900131","-2.5820639","139.3675577175",,
Wedmore,,,"1065",S 1042,disputed (probbaly spurious),likely spurious,"Wells, St Andrew's",community,,Wells,"1",Somerset,Windsor,"51.2255001","-2.8114392",Shire match,,,,"51.4837886","-0.6040419","51.2255001","-2.8114392","156.4254626195",,
Wells,,,"1065",S 1042,disputed (probbaly spurious),likely spurious,"Wells, St Andrew's",community,,Wells,"1",Somerset,Windsor,"51.2094511","-2.6451203",Shire match,,,,"51.4837886","-0.6040419","51.2094511","-2.6451203","145.4419725438",,
Westbury,,,"1065",S 1042,disputed (probbaly spurious),likely spurious,"Wells, St Andrew's",community,,Wells,"1",Somerset,Windsor,"51.2386997","-2.7194147",Shire match,,,,"51.4837886","-0.6040419","51.2386997","-2.7194147","149.8344556739",,
Winsham,,,"1065",S 1042,disputed (probbaly spurious),likely spurious,"Wells, St Andrew's",community,,Wells,"1",Somerset,Windsor,"50.8638639","-2.8790331",Shire match,,,,"51.4837886","-0.6040419","50.8638639","-2.8790331","173.3968066025",,
Withycombe,,,"1065",S 1042,disputed (probbaly spurious),likely spurious,"Wells, St Andrew's",community,,Wells,"1",Somerset,Windsor,"51.1490711","-3.4234301",Shire match,,,,"51.4837886","-0.6040419","51.1490711","-3.4234301","200.0481387216",,
Aldenham,,,"1066",S 1043,spurious,spurious,Westminster abbey,community,,Westminster,"1",Hertfordshire,Westminster,"51.6735426","-0.3520014",Shire match,,,,"51.5004439","-0.1265398","51.6735426","-0.3520014","24.8009195328",,
Amersham,,,"1066",S 1043,spurious,spurious,Westminster abbey,community,,Westminster,"1",Buckinghamshire,Westminster,"51.676685","-0.607692",Shire match,,,,"51.5004439","-0.1265398","51.676685","-0.607692","38.6844138955",,
Ashwell,,,"1066",S 1043,spurious,spurious,Westminster abbey,community,,Westminster,"1",Hertfordshire,Westminster,"52.0402221","-0.1550213",Shire match,,,,"51.5004439","-0.1265398","52.0402221","-0.1550213","60.0895033842",,
Ayot (St Lawrence),,,"1066",S 1043,spurious,spurious,Westminster abbey,community,,Westminster,"1",Hertfordshire,Westminster,"51.8350966","-0.2580284",Shire match,,,,"51.5004439","-0.1265398","51.8350966","-0.2580284","38.3289909749",,
Chollington in Eastbourne,"50.7934231345","0.2899554403","1066",S 1043,spurious,spurious,Westminster abbey,community,,Westminster,"1",Sussex,Westminster,,,Not found,"Quite unsure, based on Eastbourne",,,"51.5004439","-0.1265398","50.7934231345","0.2899554403","83.882292036",,
Claygate,,,"1066",S 1043,spurious,spurious,Westminster abbey,community,,Westminster,"1",Surrey,Westminster,"51.3602657","-0.3375054",Shire match,,,,"51.5004439","-0.1265398","51.3602657","-0.3375054","21.4123848954",,
Datchworth,,,"1066",S 1043,spurious,spurious,Westminster abbey,community,,Westminster,"1",Hertfordshire,Westminster,"51.8531384","-0.1586845",Shire match,,,,"51.5004439","-0.1265398","51.8531384","-0.1586845","39.3041570544",,
Deene,,,"1066",S 1043,spurious,spurious,Westminster abbey,community,,Westminster,"1",Northamptonshire,Westminster,"52.519851","-0.6209055",Shire match,,,,"51.5004439","-0.1265398","52.519851","-0.6209055","118.3963775576",,
